qc.sample_name	Gender	facepheno.Age	Xc	Yc
187525203_S1	Female	21	2.014077426	0.004309416
187525204_S1	Female	53	2.006686867	0.003761362
187525205_S1	Female	35	1.998711755	0.003864734
187525206_S1	Female	30	2.007616791	0.00338524
187525207_S1	Female	22	2.004054054	0.003474903
187525208_S1	Female	53	1.982858957	0.004232356
187525209_S1	Female	37	2.014700912	0.00337952
187525210_S1	Female	32	1.994863165	0.00318838
187525211_S1	Female	42	2.016100873	0.003879728
187525212_S1	Female	25	2.001637499	0.004912496
187525213_S1	Female	52	2.000693181	0.004505675
187525214_S1	Female	28	2.022785741	0.004410143
187525215_S1	Female	32	2.001683679	0.005051037
187525216_S1	Male	32	1.012372138	1.009449586
187525217_S1	Female	32	2.005404918	0.004684263
187525218_S1	Male	18	1.01078965	1.010216748
187525219_S1	Male	54	1.010467685	1.012580428
187525220_S1	Female	32	2.022036984	0.004215771
187525221_S1	Female	54	2.01005935	0.004426114
187525222_S1	Male	27	1.009359853	1.005682768
187525223_S1	Female	43	1.983352039	0.005611672
187525224_S1	Female	24	1.997957099	0.004085802
187525225_S1	Male	18	1.012078735	1.014762899
187525226_S1	Male	54	0.997513125	0.982039237
187525227_S1	Female	40	2.00822884	0.003918495
187525228_S1	Female	35	2.002254596	0.00381547
187525229_S1	Female	21	2.000727934	0.003639672
187525230_S1	Female	26	2	0.003451549
187525231_S1	Male	44	0.996599631	0.997376858
187525232_S1	Female	26	2.006133149	0.004352557
187525233_S1	Female	18	2.005988536	0.004106425
187525234_S1	Male	20	1.001747335	1.008561943
187525235_S1	Female	25	1.998804066	0.003587801
187525236_S1	Female	53	1.979449399	0.003877472
187525237_S1	Male	62	1.004382121	1.005258545
187525238_S1	Male	42	1.007300554	0.999560208
187525239_S1	Female	23	2.010621681	0.004165365
187525240_S1	Female	22	2.015728864	0.004119464
187525241_S1	Female	54	1.998299641	0.004156433
187525242_S1	Male	23	1.007381371	1.01142355
187525243_S1	Female	48	2.00733945	0.004193971
187525244_S1	Female	26	1.996412367	0.004642819
187525245_S1	Female	21	2.003535541	0.002977298
187525246_S1	Male	18	1.001603078	1.006893235
187525247_S1	Female	55	1.986875892	0.003804089
187525259_S1	Female	52	1.987654321	0.003657979
187525295_S1	Male	49	1.006355932	0.986440678
187525343_S1	Male	19	1.002745995	1.005720824
187525403_S1	Female	22	2.000733541	0.004034476
187525439_S1	Male	48	1.006028007	1.00714087
187525440_S1	Female	53	1.994453333	0.00512
187525441_S1	Female	63	1.995941622	0.004058378
187525442_S1	Female	34	2.006160797	0.004107198
187525444_S1	Male	52	1.065332042	0.981810354
187525445_S1	Female	24	1.996595938	0.003631
187525446_S1	Female	59	2.005524862	0.004051565
187525447_S1	Female	35	2.005576623	0.004461298
187525448_S1	Female	19	2.007848961	0.003394145
187525449_S1	Female	46	2.004329974	0.002986189
187525450_S1	Female	29	2.012476483	0.003960788
187525452_S1	Male	76	1.264245702	0.750820939
187525453_S1	Female	25	1.996043708	0.003391108
187525454_S1	Female	68	1.983536083	0.003841581
187525455_S1	Male	29	0.997130701	1.008410013
187525456_S1	Female	31	2.011632416	0.003295851
187525457_S1	Female	31	1.996706012	0.003659987
