visit1	Best Match	Group	Score
dynamic.FACE.voice.v2_visit1.complete.coeff91	dynamic.FACE.voice.v2_visit2.complete.coeff91	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff70	dynamic.FACE.voice.v2_visit2.complete.coeff70	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff29	dynamic.FACE.voice.v2_visit2.complete.coeff29	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff24	dynamic.FACE.voice.v2_visit2.complete.coeff24	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff27	dynamic.FACE.voice.v2_visit2.complete.coeff27	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff20	dynamic.FACE.voice.v2_visit2.complete.coeff20	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff23	dynamic.FACE.voice.v2_visit2.complete.coeff23	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff22	dynamic.FACE.voice.v2_visit2.complete.coeff22	voice.v2	100
dynamic.FACE.face_lmdist.v2_visit1.SN_LS	dynamic.FACE.face_lmdist.v2_visit2.SN_LS	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.PRN_IRR	dynamic.FACE.face_lmdist.v1_visit2.PRN_IRR	face_lmdist.v1	100
dynamic.FACE.face.v5_visit1.DepthPC	dynamic.FACE.face.v5_visit2.DepthPC	face.v5	100
dynamic.FACE.voice.v1_visit1.complete.coeff29	dynamic.FACE.voice.v1_visit2.complete.coeff29	voice.v1	100
dynamic.FACE.face.v3_visit1.ColorPC.mirror	dynamic.FACE.face.v3_visit2.ColorPC.mirror	face.v3_mirror	100
dynamic.FACE.voice.v2_visit1.complete.coeff03	dynamic.FACE.voice.v2_visit2.complete.coeff03	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff02	dynamic.FACE.voice.v2_visit2.complete.coeff02	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff07	dynamic.FACE.voice.v2_visit2.complete.coeff07	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff06	dynamic.FACE.voice.v2_visit2.complete.coeff06	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff09	dynamic.FACE.voice.v2_visit2.complete.coeff09	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff08	dynamic.FACE.voice.v2_visit2.complete.coeff08	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff00	dynamic.FACE.voice.v2_visit2.complete.coeff00	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff04	dynamic.FACE.voice.v2_visit2.complete.coeff04	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.LI_ST	dynamic.FACE.face_lmdist.v1_visit2.LI_ST	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff79	dynamic.FACE.voice.v1_visit2.complete.coeff79	voice.v1	100
